LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
PS 16:1_20:1,PS,786.5299240220202,,C42 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,15204.4,9540.1,22343.1,0.0,18465.3,0.0,12348.2,18976.3,18705.1,20579.7,11054.3,13862.9,MS2,FragmentA and FragmentB,[PS 16:1_20:1 -H]-,FA 16:1 (+O),FA 20:1 (+O),-PS(87),2900582.9,2190191.8,3335151.3,0.0,2537614.1,0.0,2506194.9,2409801.7,2922366.4,3115881.5,2305314.1,2898074.1,7264.7,3356.2,7887.6,0.0,6880.6,0.0,8789.7,5184.9,6365.2,10817.8,6337.0,6579.8,23144.0,15723.9,36798.6,0.0,30050.1,0.0,15906.8,32767.7,31045.0,30341.7,15771.7,21146.0,35621.8,37272.7,50012.2,0.0,37843.5,0.0,40520.0,42773.1,47739.2,53254.4,33604.1,42676.8,1.1,1.85,0.89,875579.28,253.2177734375,309.2801818847656,699.4978637695312,-H+,-H+,-H+,C16 H29 O2,C20 H37 O2,C39 H72 O8 P1,C42 H78 O10 N1 P1
PS 16:0_20:2,PS,786.5299240220202,,C42 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,141988.7,154853.2,186341.2,0.0,171812.0,0.0,124209.0,168204.4,175526.6,167448.9,179344.6,134974.3,MS2,FragmentA and FragmentB,[PS 16:0_20:2 -H]-,FA 16:0 (+O),FA 20:2 (+O),-PS(87),2900582.9,2190191.8,3335151.3,0.0,2537614.1,0.0,2506194.9,2409801.7,2922366.4,3115881.5,2305314.1,2898074.1,278695.2,304385.1,365769.2,0.0,339266.8,0.0,242821.0,330274.5,342740.1,324509.7,354061.9,264285.1,5282.1,5321.4,6913.2,0.0,4357.2,0.0,5597.0,6134.3,8313.1,10388.0,4627.4,5663.6,35621.8,37272.7,50012.2,0.0,37843.5,0.0,40520.0,42773.1,47739.2,53254.4,33604.1,42676.8,1.1,1.68,0.29,875579.28,255.2333831787109,307.26434326171875,699.4978637695312,-H+,-H+,-H+,C16 H31 O2,C20 H35 O2,C39 H72 O8 P1,C42 H78 O10 N1 P1
PS 18:1_18:1,PS,786.5299240220202,,C42 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,118974.6,137093.8,253285.8,0.0,210931.5,0.0,122465.6,224608.8,213012.8,141252.2,135132.5,139644.3,MS2,FragmentA and FragmentB,[PS 18:1_18:1 -H]-,FA 18:1 (+O),FA 18:1 (+O),-PS(87),2900582.9,2190191.8,3335151.3,0.0,2537614.1,0.0,2506194.9,2409801.7,2922366.4,3115881.5,2305314.1,2898074.1,237949.2,274187.6,506571.5,0.0,421862.9,0.0,244931.2,449217.6,426025.7,282504.4,270265.0,279288.7,237949.2,274187.6,506571.5,0.0,421862.9,0.0,244931.2,449217.6,426025.7,282504.4,270265.0,279288.7,35621.8,37272.7,50012.2,0.0,37843.5,0.0,40520.0,42773.1,47739.2,53254.4,33604.1,42676.8,1.1,0.4,0.4,875579.28,281.24871826171875,281.24871826171875,699.4978637695312,-H+,-H+,-H+,C18 H33 O2,C18 H33 O2,C39 H72 O8 P1,C42 H78 O10 N1 P1
PS 18:0_18:2,PS,786.5299240220202,,C42 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,677720.2,560465.5,689802.7,0.0,455513.2,0.0,574727.7,492815.9,617026.7,815632.5,566438.6,625381.4,MS2,FragmentA and FragmentB,[PS 18:0_18:2 -H]-,FA 18:0 (+O),FA 18:2 (+O),-PS(87),2900582.9,2190191.8,3335151.3,0.0,2537614.1,0.0,2506194.9,2409801.7,2922366.4,3115881.5,2305314.1,2898074.1,976878.5,807749.9,996466.1,0.0,650435.7,0.0,843946.4,724746.6,896369.0,1186721.1,829497.5,907427.0,378562.0,313181.2,383139.2,0.0,260590.8,0.0,305508.9,260885.2,337684.4,444543.9,303379.6,343335.8,35621.8,37272.7,50012.2,0.0,37843.5,0.0,40520.0,42773.1,47739.2,53254.4,33604.1,42676.8,1.1,0.31,0.49,875579.28,283.26434326171875,279.23309326171875,699.4978637695312,-H+,-H+,-H+,C18 H35 O2,C18 H31 O2,C39 H72 O8 P1,C42 H78 O10 N1 P1
PS 16:0_20:1,PS,788.5455051983461,,C42 H79 O10 N1 P1,,-H+,Glycerophospholipid,negative,41207.0,24319.3,28664.6,0.0,33991.8,0.0,34583.1,26157.7,27783.1,34942.5,20306.1,31052.5,MS2,FragmentA and FragmentB,[PS 16:0_20:1 -H]-,FA 16:0 (+O),FA 20:1 (+O),-PS(87),7958171.5,6693562.0,10463787.5,0.0,7962349.2,0.0,6459543.1,8360200.5,8380660.7,8180207.0,6602334.6,7513751.1,57120.9,37864.3,42596.7,0.0,42522.9,0.0,51957.7,37800.7,35611.7,58969.5,25782.7,50466.4,25293.1,10774.3,14732.6,0.0,25460.8,0.0,17208.5,14514.8,19954.5,10915.6,14829.5,11638.6,179045.9,129366.6,203907.5,0.0,168844.0,0.0,132810.9,186665.1,203638.6,162627.6,135152.9,129798.0,1.01,2.1,1.58,875936.8,255.2334899902344,309.2803955078125,701.513671875,-H+,-H+,-H+,C16 H31 O2,C20 H37 O2,C39 H74 O8 P1,C42 H80 O10 N1 P1
PS 18:0_18:1,PS,788.5455051983461,,C42 H79 O10 N1 P1,,-H+,Glycerophospholipid,negative,2558940.7,1979512.1,3266770.4,0.0,2399135.0,0.0,2170071.9,2947470.6,2673316.4,2490985.7,2320492.2,1905215.8,MS2,FragmentA and FragmentB,[PS 18:0_18:1 -H]-,FA 18:0 (+O),FA 18:1 (+O),-PS(87),7958171.5,6693562.0,10463787.5,0.0,7962349.2,0.0,6459543.1,8360200.5,8380660.7,8180207.0,6602334.6,7513751.1,3682994.5,2826317.4,4635684.6,0.0,3422086.7,0.0,3144453.6,4253338.8,3826432.8,3559735.0,3301929.6,2726273.0,1434886.9,1132706.8,1897856.1,0.0,1376183.2,0.0,1195690.3,1641602.3,1520200.0,1422236.5,1339054.7,1084158.7,179045.9,129366.6,203907.5,0.0,168844.0,0.0,132810.9,186665.1,203638.6,162627.6,135152.9,129798.0,1.01,0.31,0.51,875936.8,283.26434326171875,281.2487487792969,701.513671875,-H+,-H+,-H+,C18 H35 O2,C18 H33 O2,C39 H74 O8 P1,C42 H80 O10 N1 P1
PS 17:0_20:1,PS,802.5612372745599,,C43 H81 O10 N1 P1,,-H+,Glycerophospholipid,negative,3336.1,0.0,968.5,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-0.5,3365.0,MS2,FragmentA and FragmentB,[PS 17:0_20:1 -H]-,FA 17:0 (+O),FA 20:1 (+O),-PS(87),233372.0,0.0,342887.8,0.0,0.0,0.0,227720.9,226379.9,299063.5,0.0,158070.8,249477.8,-1.0,0.0,1938.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,2018.4,6673.2,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,4711.5,1395.2,0.0,6210.0,0.0,0.0,0.0,3988.4,3898.0,5238.8,0.0,1029.0,1697.3,1.09,0.87,1.09,878366.77,269.24884033203125,309.2802429199219,715.5283813476562,-H+,-H+,-H+,C17 H33 O2,C20 H37 O2,C40 H76 O8 P1,C43 H82 O10 N1 P1
PS 18:0_19:1,PS,802.5612372745599,,C43 H81 O10 N1 P1,,-H+,Glycerophospholipid,negative,62490.0,0.0,42289.6,0.0,34996.9,0.0,42915.6,43813.0,35593.8,65649.7,35845.6,53601.8,MS2,FragmentA and FragmentB,[PS 18:0_19:1 -H]-,FA 18:0 (+O),FA 19:1 (+O),-PS(87),233372.0,0.0,342887.8,0.0,265097.0,0.0,227720.9,226379.9,299063.5,271290.1,158070.8,249477.8,119095.1,0.0,79561.3,0.0,69994.8,0.0,81082.9,83079.8,69705.4,126582.5,69698.0,101797.8,5884.9,0.0,5017.9,0.0,-1.0,0.0,4748.2,4546.2,1482.2,4717.0,1993.2,5405.8,1395.2,0.0,6210.0,0.0,1196.1,0.0,3988.4,3898.0,5238.8,1689.7,1029.0,1697.3,1.09,0.2,0.4,878366.77,283.2643127441406,295.2643737792969,715.5283813476562,-H+,-H+,-H+,C18 H35 O2,C19 H35 O2,C40 H76 O8 P1,C43 H82 O10 N1 P1
PS 16:1_22:4,PS,808.5141995872682,,C44 H75 O10 N1 P1,,-H+,Glycerophospholipid,negative,30662.9,46661.6,39774.5,0.0,46526.0,0.0,38546.4,47923.6,43658.9,0.0,30504.3,33425.9,MS2,FragmentA and FragmentB,[PS 16:1_22:4 -H]-,FA 16:1 (+O),FA 22:4 (+O),-PS(87),303462.8,325450.2,453972.8,0.0,401295.6,0.0,287210.9,349780.6,376236.3,0.0,324890.3,331720.1,913.5,11922.5,-1.0,0.0,12304.4,0.0,182.5,14718.8,14759.0,0.0,9719.1,-1.0,60412.3,81400.7,79550.0,0.0,80747.6,0.0,76910.2,81128.3,72558.7,0.0,51289.6,66852.9,4421.9,1397.1,1443.9,0.0,4331.4,0.0,1220.9,2235.7,2008.5,0.0,2009.4,4673.8,0.98,1.61,0.63,879370.43,253.2177124023437,331.26446533203125,721.481689453125,-H+,-H+,-H+,C16 H29 O2,C22 H35 O2,C41 H70 O8 P1,C44 H76 O10 N1 P1
PS 16:0_22:5,PS,808.5141995872682,,C44 H75 O10 N1 P1,,-H+,Glycerophospholipid,negative,32954.5,58358.4,53726.2,0.0,50116.3,0.0,28392.4,67780.2,39916.2,0.0,47439.2,27057.1,MS2,FragmentA and FragmentB,[PS 16:0_22:5 -H]-,FA 16:0 (+O),FA 22:5 (+O),-PS(87),303462.8,325450.2,453972.8,0.0,401295.6,0.0,287210.9,349780.6,376236.3,0.0,324890.3,331720.1,52825.3,105441.3,92716.8,0.0,88518.6,0.0,45904.0,113882.9,74625.8,0.0,85368.7,38672.4,13083.7,11275.5,14735.6,0.0,11714.0,0.0,10880.8,21677.6,5206.7,0.0,9509.8,15441.7,4421.9,1397.1,1443.9,0.0,4331.4,0.0,1220.9,2235.7,2008.5,0.0,2009.4,4673.8,0.98,1.68,0.71,879370.43,255.2333831787109,329.24884033203125,721.481689453125,-H+,-H+,-H+,C16 H31 O2,C22 H33 O2,C41 H70 O8 P1,C44 H76 O10 N1 P1
PS 18:2_20:3,PS,808.5141995872682,,C44 H75 O10 N1 P1,,-H+,Glycerophospholipid,negative,19297.1,20233.0,17988.0,0.0,18203.1,0.0,16176.0,23093.1,15616.9,0.0,14515.6,14903.0,MS2,FragmentA and FragmentB,[PS 18:2_20:3 -H]-,FA 18:2 (+O),FA 20:3 (+O),-PS(87),303462.8,325450.2,453972.8,0.0,401295.6,0.0,287210.9,349780.6,376236.3,0.0,324890.3,331720.1,30828.3,35951.9,30007.4,0.0,31058.1,0.0,28995.4,36562.6,29101.2,0.0,26077.8,27516.8,7765.8,4514.1,5968.5,0.0,5348.1,0.0,3356.5,9623.6,2132.5,0.0,2953.4,2289.3,4421.9,1397.1,1443.9,0.0,4331.4,0.0,1220.9,2235.7,2008.5,0.0,2009.4,4673.8,0.98,0.17,0.07,879370.43,279.2330017089844,305.2486267089844,721.481689453125,-H+,-H+,-H+,C18 H31 O2,C20 H33 O2,C41 H70 O8 P1,C44 H76 O10 N1 P1
PS 18:1_20:4,PS,808.5141995872682,,C44 H75 O10 N1 P1,,-H+,Glycerophospholipid,negative,110934.0,120192.6,147040.0,0.0,118238.1,0.0,101200.8,142597.5,148630.3,0.0,130310.6,93778.7,MS2,FragmentA and FragmentB,[PS 18:1_20:4 -H]-,FA 18:1 (+O),FA 20:4 (+O),-PS(87),303462.8,325450.2,453972.8,0.0,401295.6,0.0,287210.9,349780.6,376236.3,0.0,324890.3,331720.1,144543.5,164393.4,197776.9,0.0,166856.9,0.0,132924.2,194859.8,209573.1,0.0,184508.1,123544.1,77324.5,75991.7,96303.1,0.0,69619.2,0.0,69477.5,90335.1,87687.5,0.0,76113.0,64013.4,4421.9,1397.1,1443.9,0.0,4331.4,0.0,1220.9,2235.7,2008.5,0.0,2009.4,4673.8,0.98,0.29,0.56,879370.43,281.2486877441406,303.2331237792969,721.481689453125,-H+,-H+,-H+,C18 H33 O2,C20 H31 O2,C41 H70 O8 P1,C44 H76 O10 N1 P1
PS 18:0_20:5,PS,808.5141995872682,,C44 H75 O10 N1 P1,,-H+,Glycerophospholipid,negative,14929.1,0.0,16192.2,0.0,18427.1,0.0,12257.4,26020.9,18913.4,0.0,0.0,11731.2,MS2,FragmentA and FragmentB,[PS 18:0_20:5 -H]-,FA 18:0 (+O),FA 20:5 (+O),-PS(87),303462.8,0.0,453972.8,0.0,401295.6,0.0,287210.9,349780.6,376236.3,0.0,0.0,331720.1,27629.4,0.0,28628.8,0.0,35225.6,0.0,20875.5,46467.0,33063.2,0.0,0.0,21708.3,2228.9,0.0,3755.6,0.0,1628.6,0.0,3639.2,5574.9,4763.7,0.0,0.0,1754.1,4421.9,0.0,1443.9,0.0,4331.4,0.0,1220.9,2235.7,2008.5,0.0,0.0,4673.8,0.98,0.2,2.37,879370.43,283.2643127441406,301.218017578125,721.481689453125,-H+,-H+,-H+,C18 H35 O2,C20 H29 O2,C41 H70 O8 P1,C44 H76 O10 N1 P1
PS 18:2_20:2,PS,810.529777247486,,C44 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,0.0,1925.1,0.0,0.0,666.8,0.0,1798.7,1242.5,0.0,0.0,1263.1,2690.6,MS2,FragmentA and FragmentB,[PS 18:2_20:2 -H]-,FA 18:2 (+O),FA 20:2 (+O),-PS(87),0.0,7925069.3,0.0,0.0,7589277.9,0.0,6787909.4,7424063.2,0.0,0.0,8763665.2,7830714.7,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,3851.3,0.0,0.0,1334.7,0.0,3598.4,2485.9,0.0,0.0,2527.2,5382.2,0.0,74990.3,0.0,0.0,59872.4,0.0,50499.8,72235.5,0.0,0.0,78602.2,62253.8,0.89,0.71,0.29,879706.56,279.233154296875,307.26434326171875,723.4976806640625,-H+,-H+,-H+,C18 H31 O2,C20 H35 O2,C41 H72 O8 P1,C44 H78 O10 N1 P1
PS 16:1_22:3,PS,810.5298854321762,,C44 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,3036.7,740.8,7553.1,0.0,0.0,0.0,0.0,795.1,0.0,0.0,3613.2,0.0,MS2,FragmentA and FragmentB,[PS 16:1_22:3 -H]-,FA 16:1 (+O),FA 22:3 (+O),-PS(87),8974146.0,7925069.3,9850720.4,0.0,0.0,0.0,0.0,7424063.2,0.0,0.0,8763665.2,0.0,2247.2,-1.0,9433.9,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4780.7,0.0,3826.3,1482.5,5672.4,0.0,0.0,0.0,0.0,1591.1,0.0,0.0,2445.6,0.0,77164.5,74990.3,85817.5,0.0,0.0,0.0,0.0,72235.5,0.0,0.0,78602.2,0.0,1.02,1.49,0.1,879706.6,253.2176818847656,333.2799377441406,723.4979248046875,-H+,-H+,-H+,C16 H29 O2,C22 H37 O2,C41 H72 O8 P1,C44 H78 O10 N1 P1
PS 16:0_22:4,PS,810.5298854321762,,C44 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,38763.1,22894.7,45133.2,0.0,23449.0,0.0,36940.5,22247.2,35294.0,45683.4,42703.5,45532.4,MS2,FragmentA and FragmentB,[PS 16:0_22:4 -H]-,FA 16:0 (+O),FA 22:4 (+O),-PS(87),8974146.0,7925069.3,9850720.4,0.0,7589277.9,0.0,6787909.4,7424063.2,8574204.4,9375961.1,8763665.2,7830714.7,49682.3,34123.8,65315.0,0.0,36697.3,0.0,48892.7,31012.2,45076.7,55763.5,60796.0,64162.6,27844.0,11665.5,24951.4,0.0,10200.6,0.0,24988.3,13482.2,25511.2,35603.3,24611.0,26902.2,77164.5,74990.3,85817.5,0.0,59872.4,0.0,50499.8,72235.5,74578.3,89915.9,78602.2,62253.8,1.02,2.04,0.45,879706.6,255.2334747314453,331.264404296875,723.4979248046875,-H+,-H+,-H+,C16 H31 O2,C22 H35 O2,C41 H72 O8 P1,C44 H78 O10 N1 P1
PS 18:1_20:3,PS,810.5298854321762,,C44 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,29327.2,23248.3,67021.7,0.0,42597.7,0.0,36497.5,46225.8,44667.0,51032.8,24218.0,43531.7,MS2,FragmentA and FragmentB,[PS 18:1_20:3 -H]-,FA 18:1 (+O),FA 20:3 (+O),-PS(87),8974146.0,7925069.3,9850720.4,0.0,7589277.9,0.0,6787909.4,7424063.2,8574204.4,9375961.1,8763665.2,7830714.7,40013.7,34633.0,101543.6,0.0,63474.4,0.0,53033.1,71984.4,64413.4,78727.4,33221.8,74243.4,18640.7,11863.5,32499.9,0.0,21721.0,0.0,19961.9,20467.3,24920.5,23338.2,15214.1,12819.9,77164.5,74990.3,85817.5,0.0,59872.4,0.0,50499.8,72235.5,74578.3,89915.9,78602.2,62253.8,1.02,0.62,-0.33,879706.6,281.248779296875,305.2485046386719,723.4979248046875,-H+,-H+,-H+,C18 H33 O2,C20 H33 O2,C41 H72 O8 P1,C44 H78 O10 N1 P1
PS 18:0_20:4,PS,810.5298854321762,,C44 H77 O10 N1 P1,,-H+,Glycerophospholipid,negative,2375772.0,2404520.1,3099202.5,0.0,1832492.4,0.0,1938972.3,2211577.4,2388136.1,2819760.3,2578265.9,2186915.6,MS2,FragmentA and FragmentB,[PS 18:0_20:4 -H]-,FA 18:0 (+O),FA 20:4 (+O),-PS(87),8974146.0,7925069.3,9850720.4,0.0,7589277.9,0.0,6787909.4,7424063.2,8574204.4,9375961.1,8763665.2,7830714.7,3824458.6,3908714.9,4974050.1,0.0,3000467.8,0.0,3136230.9,3571429.4,3848267.7,4550957.4,4153861.7,3516650.6,927085.4,900325.3,1224354.9,0.0,664517.0,0.0,741713.7,851725.3,928004.5,1088563.1,1002670.1,857180.6,77164.5,74990.3,85817.5,0.0,59872.4,0.0,50499.8,72235.5,74578.3,89915.9,78602.2,62253.8,1.02,0.42,0.46,879706.6,283.2643737792969,303.23309326171875,723.4979248046875,-H+,-H+,-H+,C18 H35 O2,C20 H31 O2,C41 H72 O8 P1,C44 H78 O10 N1 P1
PS 16:1_22:2,PS,812.5455490624408,,C44 H79 O10 N1 P1,,-H+,Glycerophospholipid,negative,5083.9,4299.3,3998.4,0.0,2380.9,0.0,0.0,3442.3,3456.6,7040.3,1396.0,3788.1,MS2,FragmentA and FragmentB,[PS 16:1_22:2 -H]-,FA 16:1 (+O),FA 22:2 (+O),-PS(87),3611392.9,2450515.2,3829692.4,0.0,3374798.9,0.0,0.0,3288452.3,3453183.5,3740246.6,2617734.9,2936222.9,3538.4,6554.7,4073.3,0.0,-1.0,0.0,0.0,4867.4,-1.0,5676.1,-1.0,4893.9,6629.5,2043.8,3923.5,0.0,4762.9,0.0,0.0,2017.2,6914.3,8404.5,2793.1,2682.3,36102.0,30880.0,48946.0,0.0,36951.5,0.0,0.0,37259.6,43271.9,48943.4,23965.2,33953.0,1.03,1.25,0.93,880040.86,253.21762084960932,335.2958679199219,725.513916015625,-H+,-H+,-H+,C16 H29 O2,C22 H39 O2,C41 H74 O8 P1,C44 H80 O10 N1 P1
PS 16:0_22:3,PS,812.5455490624408,,C44 H79 O10 N1 P1,,-H+,Glycerophospholipid,negative,7606.7,0.0,5822.8,0.0,2423.5,0.0,2939.4,0.0,0.0,10246.6,8347.1,13499.5,MS2,FragmentA and FragmentB,[PS 16:0_22:3 -H]-,FA 16:0 (+O),FA 22:3 (+O),-PS(87),3611392.9,0.0,3829692.4,0.0,3374798.9,0.0,2531890.9,0.0,0.0,3740246.6,2617734.9,2936222.9,13523.5,0.0,7680.3,0.0,-1.0,0.0,3909.2,0.0,0.0,17484.8,14565.5,24731.4,1689.8,0.0,3965.4,0.0,4848.0,0.0,1969.6,0.0,0.0,3008.3,2128.6,2267.7,36102.0,0.0,48946.0,0.0,36951.5,0.0,26391.9,0.0,0.0,48943.4,23965.2,33953.0,1.03,1.92,0.83,880040.86,255.2334442138672,333.2801818847656,725.513916015625,-H+,-H+,-H+,C16 H31 O2,C22 H37 O2,C41 H74 O8 P1,C44 H80 O10 N1 P1
PS 18:1_20:2,PS,812.5455490624408,,C44 H79 O10 N1 P1,,-H+,Glycerophospholipid,negative,17351.4,13796.3,23782.3,0.0,11593.6,0.0,12581.6,14699.7,16380.3,17335.3,14384.0,13711.8,MS2,FragmentA and FragmentB,[PS 18:1_20:2 -H]-,FA 18:1 (+O),FA 20:2 (+O),-PS(87),3611392.9,2450515.2,3829692.4,0.0,3374798.9,0.0,2531890.9,3288452.3,3453183.5,3740246.6,2617734.9,2936222.9,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34703.8,27593.6,47565.6,0.0,23188.1,0.0,25164.3,29400.4,32761.7,34671.6,28769.1,27424.6,36102.0,30880.0,48946.0,0.0,36951.5,0.0,26391.9,37259.6,43271.9,48943.4,23965.2,33953.0,1.03,0.51,0.58,880040.86,281.2487487792969,307.2644348144531,725.513916015625,-H+,-H+,-H+,C18 H33 O2,C20 H35 O2,C41 H74 O8 P1,C44 H80 O10 N1 P1
PS 18:0_20:3,PS,812.5455490624408,,C44 H79 O10 N1 P1,,-H+,Glycerophospholipid,negative,850344.3,434105.4,1011264.7,0.0,637268.2,0.0,533173.4,810176.4,745963.4,1061398.0,498079.1,646992.2,MS2,FragmentA and FragmentB,[PS 18:0_20:3 -H]-,FA 18:0 (+O),FA 20:3 (+O),-PS(87),3611392.9,2450515.2,3829692.4,0.0,3374798.9,0.0,2531890.9,3288452.3,3453183.5,3740246.6,2617734.9,2936222.9,1175693.4,517584.2,1364660.2,0.0,857216.7,0.0,705367.0,1118391.4,974022.2,1476288.8,600798.9,820846.8,524995.1,350626.6,657869.1,0.0,417319.8,0.0,360979.7,501961.3,517904.6,646507.1,395359.2,473137.6,36102.0,30880.0,48946.0,0.0,36951.5,0.0,26391.9,37259.6,43271.9,48943.4,23965.2,33953.0,1.03,0.42,0.27,880040.86,283.2643737792969,305.2486877441406,725.513916015625,-H+,-H+,-H+,C18 H35 O2,C20 H33 O2,C41 H74 O8 P1,C44 H80 O10 N1 P1
PS 16:1_22:1,PS,814.5612274962849,,C44 H81 O10 N1 P1,,-H+,Glycerophospholipid,negative,66888.6,56132.8,87147.8,0.0,75412.8,0.0,61768.2,78786.6,77321.9,71300.2,45779.8,0.0,MS2,FragmentA and FragmentB,[PS 16:1_22:1 -H]-,FA 16:1 (+O),FA 22:1 (+O),-PS(87),989204.5,677419.4,1088830.0,0.0,986410.3,0.0,767106.3,898209.1,1015270.9,1006112.2,848993.9,0.0,81301.6,74926.2,113744.6,0.0,99091.2,0.0,88289.8,101286.2,88440.9,85777.5,64527.2,0.0,52475.6,37339.4,60551.1,0.0,51734.4,0.0,35246.7,56287.1,66203.0,56822.8,27032.5,0.0,10005.7,4739.7,10226.6,0.0,9346.4,0.0,9175.5,9877.3,9307.3,9401.0,9326.3,0.0,1.07,1.67,0.94,880372.8,253.2177276611328,337.3115234375,727.527099609375,-H+,-H+,-H+,C16 H29 O2,C22 H41 O2,C41 H76 O8 P1,C44 H82 O10 N1 P1
